Filename,Source URL,Status
#150 Susa Ventures_ Building the next great Seed stage venture capital firm with Founder Leo Polovets_.txt,https://www.danielscrivner.com/150/,Found
#318_ B2B Marketing with Dave Gerhardt (An Exit Five Podcast) _ The Future of B2B Marketing with Kieran Flanagan.txt,https://www.bing.com/aclick?ld=e8rY8SOg6pr1GePaCK-xF1rzVUCUw7RGCi1ygsnT-STp8hTJ0-mbnSbAcT3Zt4Vb7CmXCdCJfnQnmPnxnLIWcpjMNImCVecKuRGvFfb1w_DWJevTeQG-TEPUbt8G_Fyd-W6O6jtHiMeRrGdsQRJM_cZW8KFD4Y3mSRy1XIXh0FkdGnIDi_KWTK5gotG7TX3ATnL3h4iw&u=aHR0cHMlM2ElMmYlMmZ3d3cuY2hhbm5lbDk5LmNvbSUyZiUzZnRlc3RGaW5hbFVybFN1ZmZpeCUzZHZhbHVlJTI2Yzk5X3MlM2RiYSUyNmM5OV9jJTNkNTE5Nzg0NjI3JTI2Yzk5X2slM2Q4MjMyNzYyNjU4ODA1MiUyNmM5OV9uJTNkb2M5OV9jJTNkNTE5Nzg0NjI3JTI2Yzk5X3MlM2RiYSUyNmM5OV9udyUzZG8lMjZtc2Nsa2lkJTNkMDM2MmU0NmZlMzUzMWY0Mzk5NWQ4ZGU2M2NjYjMxODMlMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fY2FtcGFpZ24lM2RRNCUyNTIwMjAyNSUyNTIwS2V5d29yZHMlMjZ1dG1fdGVybSUzZG1hcmtldGluZyUyNTIwbWl4JTI1MjBtb2RlbGluZyUyNTIwYjJiJTI2dXRtX2NvbnRlbnQlM2RORVclMjUyMEtleXdvcmRzJTI1MjBNWSUyNTIwMjAyNQ&rlid=0362e46fe3531f43995d8de63ccb3183,Found
#57 NfX_ A masterclass on network effects and investing in network effect businesses with Co-Founder and General Partner James Currier_.txt,https://www.danielscrivner.com/57/,Found
038_ Steph Smith – Turn Your Newsletter Into a Seven-Figure Business _ Nathan Barry.txt,https://en.wikipedia.org/wiki/Dwayne_Johnson,Found
10 Ways Sales is Different in Vertical SaaS_ Lessons from Mangomint’s VP of Sales Marchelle Mooney _ SaaStr.txt,https://www.saastr.com/10-ways-sales-is-different-in-vertical-saas-lessons-from-mangomints-vp-of-sales/,Found
11 Insights from Building a SaaS Go-To-Market Strategy.txt,https://www.textmagic.com/blog/go-to-market-strategy-saas/,Found
11 Ways to Reduce Customer Churn in SaaS _ ProsperStack.txt,https://prosperstack.com/blog/reduce-saas-churn/,Found
"12 Things I Learned from Ben Horowitz about Management, Investing, and Business _ Andreessen Horowitz.txt",https://a16z.com/12-things-i-learned-from-ben-horowitz-about-management-investing-and-business/,Found
13 “From the Trenches” Lessons Learned from Bootstrapping Multiple SaaS Businesses – Sujan Patel.txt,https://sujanpatel.com/business/saas-trenches/,Found
15 Essential SaaS Metrics Every Founder Must Track in 2026 (With Benchmarks).txt,https://www.averi.ai/blog/15-essential-saas-metrics-every-founder-must-track-in-2026-(with-benchmarks),Found
16 Ways to Measure Network Effects _ Andreessen Horowitz.txt,https://jarango.com/2018/12/30/how-to-measure-network-effects/,Found
2013 Pacific Crest SaaS Survey - For Entrepreneurs.txt,https://en.wikipedia.org/wiki/Pacific_Crest_Securities,Found
2025 B2B SaaS Funnel Benchmarks & Pipeline Audit Framework.txt,https://directiveconsulting.com/blog/b2b-roas-benchmarks-high-performing-campaigns-in-2025/,Found
2025g7aiadoptionfinaleng-1.pdf,https://g7.utoronto.ca/ict/2025g7aiadoptionfinaleng-1.pdf,Found
223. Crisis Coverage w_ Byron Deeter – Why This is the Seminal Moment for Cloud and Lessons from 19 Unicorn Investments _ The Full Ratchet.txt,https://fullratchet.net/223-crisis-coverage-w-byron-deeter-why-this-is-the-seminal-moment-for-cloud-and-lessons-from-19-unicorn-investments/,Found
241. Finding Markets with Long-Term Tailwinds_ Macro Impacts on Venture_ and Robust vs. Fragile Data (Niki Pezeshki) _ The Full Ratchet.txt,https://fullratchet.net/241-finding-markets-with-long-term-tailwinds-macro-impacts-on-venture-and-robust-vs-fragile-data-niki-pezeshki/,Found
"304. IT and Enterprise Tech Investing, The Realities and Myths of PLG, and The Past and Future of NYC Tech (Jonathan Lehr) _ The Full Ratchet.txt",https://fullratchet.net/304-it-and-enterprise-tech-investing-the-realities-and-myths-of-plg-and-the-past-and-future-of-nyc-tech-jonathan-lehr/,Found
4 Proven Strategies for Sustainable ACV Growth.txt,https://www.hubifi.com/blog/acv-metrics-explained,Found
4 Traits of Fast-growing SaaS Companies - OpenView.txt,https://openviewpartners.com/blog/traits-of-fast-growing-saas-companies/,Found
5 Diagrams That Explain Product-led Growth + Bonus Worksheet.txt,https://amplitude.com/blog/product-led-growth-diagrams,Found
